Date,Time,MQ2.SV hinten,MQ3.SV hinten,MQ9B.SV hinten,MQ135.SV hinten,MP503.SV hinten,HCOH.SV hinten
20240314,12:05:20,121,60,37,46,323,46
20240314,12:05:24,118,59,36,45,201,45
20240314,12:05:27,121,59,36,46,212,44
20240314,12:05:31,117,60,36,45,322,42
20240314,12:05:35,118,59,36,46,330,42
20240314,12:05:38,114,59,36,45,199,40
20240314,12:05:42,116,59,36,45,336,43
20240314,12:05:46,111,60,36,45,201,42
20240314,12:05:49,116,60,36,45,294,41
20240314,12:05:53,115,60,36,46,315,44
20240314,12:05:57,114,60,36,45,330,40
20240314,12:06:00,113,59,36,46,236,42
20240314,12:06:04,112,59,37,45,207,39
20240314,12:06:08,111,59,35,45,291,40
20240314,12:06:12,107,58,36,46,332,38
20240314,12:06:15,112,59,36,45,214,39
20240314,12:06:19,110,58,36,45,339,39
20240314,12:06:23,108,57,36,46,322,40
20240314,12:06:26,116,60,36,46,201,42
20240314,12:06:30,115,60,36,45,338,45
20240314,12:06:34,111,59,36,45,312,45
20240314,12:06:37,118,70,36,46,332,44
20240314,12:06:41,112,68,36,45,209,42
20240314,12:06:45,114,66,35,45,291,39
20240314,12:06:48,111,64,35,45,333,38
20240314,12:06:52,110,62,36,45,297,39
20240314,12:06:56,116,62,36,45,205,44
20240314,12:06:59,116,63,36,45,232,39
20240314,12:07:03,120,62,34,46,335,41
20240314,12:07:07,115,62,36,44,306,42
20240314,12:07:10,124,61,36,46,205,46
20240314,12:07:14,119,62,36,44,333,44
20240314,12:07:18,115,62,36,45,339,39
20240314,12:07:22,118,62,37,46,325,40
20240314,12:07:25,113,61,35,45,200,40
20240314,12:07:29,113,61,34,45,336,39
20240314,12:07:33,113,60,36,45,338,38
20240314,12:07:36,112,60,36,45,330,38
20240314,12:07:40,117,62,36,45,214,40
20240314,12:07:44,117,61,34,46,340,39
20240314,12:07:47,112,61,36,45,322,38
20240314,12:07:51,112,60,34,46,202,35
20240314,12:07:55,109,60,35,45,215,35
20240314,12:07:58,110,59,35,46,334,33
20240314,12:08:02,108,59,36,45,206,34
20240314,12:08:06,112,58,36,46,334,36
20240314,12:08:10,115,59,36,45,269,39
20240314,12:08:13,112,61,37,45,211,39
20240314,12:08:17,119,61,36,45,274,38
20240314,12:08:21,111,60,35,46,340,36
20240314,12:08:24,112,59,36,46,334,35
20240314,12:08:28,112,59,36,45,200,35
20240314,12:08:32,116,59,35,46,285,34
20240314,12:08:35,111,58,35,46,201,35
20240314,12:08:39,111,58,36,45,213,37
20240314,12:08:43,113,59,35,46,259,34
20240314,12:08:46,110,58,36,45,339,34
20240314,12:08:50,111,59,36,46,334,33
20240314,12:08:54,113,59,36,45,326,34
20240314,12:08:58,117,60,35,46,284,37
20240314,12:09:01,118,59,35,46,216,40
20240314,12:09:05,120,60,36,46,204,39
20240314,12:09:09,113,60,37,44,211,38
20240314,12:09:12,108,59,35,46,227,37
20240314,12:09:16,107,58,36,46,340,35
20240314,12:09:20,111,59,37,46,333,35
20240314,12:09:23,115,60,36,46,326,39
20240314,12:09:27,112,60,36,46,204,40
20240314,12:09:31,112,59,36,46,199,44
20240314,12:09:34,110,59,36,46,203,41
20240314,12:09:38,111,59,36,45,320,39
20240314,12:09:42,113,59,36,46,337,37
20240314,12:09:45,113,59,35,46,332,36
20240314,12:09:49,115,59,35,45,325,42
20240314,12:09:53,115,64,36,45,290,42
20240314,12:09:56,115,70,36,46,199,40
20240314,12:10:00,119,67,36,45,205,42
20240314,12:10:04,115,64,36,44,215,41
20240314,12:10:08,113,63,36,45,317,39
20240314,12:10:11,112,62,35,45,324,37
20240314,12:10:15,117,61,35,44,213,38
20240314,12:10:19,112,61,34,44,337,37
20240314,12:10:22,113,61,35,45,329,40
20240314,12:10:26,111,60,36,45,207,42
20240314,12:10:30,120,61,35,46,202,44
20240314,12:10:33,115,61,36,45,206,43
20240314,12:10:37,113,60,34,45,331,38
20240314,12:10:41,110,60,36,46,323,35
20240314,12:10:44,107,58,36,46,197,35
20240314,12:10:48,114,60,34,45,199,38
20240314,12:10:52,114,60,36,45,207,38
20240314,12:10:55,108,58,36,46,297,37
20240314,12:10:59,120,60,35,46,335,42
20240314,12:11:03,113,62,36,45,313,40
20240314,12:11:06,117,61,35,45,203,47
20240314,12:11:10,115,61,36,45,333,43
20240314,12:11:14,109,60,35,46,300,41
20240314,12:11:18,112,61,36,45,204,37
20240314,12:11:21,110,61,36,44,217,36
20240314,12:11:25,117,61,34,46,336,36
20240314,12:11:29,111,60,36,45,323,37
20240314,12:11:32,114,61,34,46,201,38
20240314,12:11:36,112,59,36,45,332,39
20240314,12:11:40,121,61,34,45,300,42
20240314,12:11:43,113,61,36,44,205,42
20240314,12:11:47,115,61,34,45,248,39
20240314,12:11:51,111,60,35,44,332,39
20240314,12:11:54,114,60,34,45,257,37
20240314,12:11:58,109,59,36,45,207,36
20240314,12:12:02,112,60,35,45,298,35
20240314,12:12:05,107,59,35,45,330,34
20240314,12:12:09,110,59,36,45,212,32
20240314,12:12:13,112,59,36,45,212,35
20240314,12:12:16,114,59,36,46,340,37
20240314,12:12:20,110,60,35,45,327,38
20240314,12:12:24,113,59,36,45,221,38
20240314,12:12:28,113,59,36,45,213,38
20240314,12:12:31,112,60,35,45,333,36
20240314,12:12:35,106,59,36,46,201,36
20240314,12:12:39,110,59,36,46,205,37
20240314,12:12:42,107,59,35,44,214,36
20240314,12:12:46,113,60,34,45,340,35
20240314,12:12:50,110,59,36,45,326,35
20240314,12:12:53,112,58,35,46,209,41
20240314,12:12:57,111,59,35,45,208,38
20240314,12:13:01,109,58,36,45,313,37
20240314,12:13:04,109,59,36,45,332,36
20240314,12:13:08,112,59,35,44,213,35
20240314,12:13:12,111,59,35,46,340,33
20240314,12:13:15,108,59,35,46,328,33
20240314,12:13:19,108,59,34,46,210,32
20240314,12:13:23,105,58,35,45,335,32
20240314,12:13:26,108,59,36,45,214,32
20240314,12:13:30,106,58,35,45,333,34
20240314,12:13:34,110,59,36,45,207,38
20240314,12:13:38,110,59,34,45,205,37
20240314,12:13:41,110,59,35,46,206,35
20240314,12:13:45,106,58,35,45,245,34
20240314,12:13:49,108,59,34,45,334,33
20240314,12:13:52,105,58,35,45,324,32
20240314,12:13:56,108,59,33,46,198,31
20240314,12:14:00,104,58,36,45,207,32
20240314,12:14:03,108,58,34,46,267,31
20240314,12:14:07,103,58,35,44,232,31
20240314,12:14:11,107,58,35,45,205,31
20240314,12:14:14,105,58,35,45,215,31
20240314,12:14:18,112,58,36,46,342,33
20240314,12:14:22,107,58,36,45,203,36
20240314,12:14:25,109,58,36,46,266,34
20240314,12:14:29,107,57,35,46,203,34
20240314,12:14:33,106,58,35,45,334,34
20240314,12:14:37,108,58,34,45,323,32
