# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:19:31	-0.9	G	66.5	G
1/24/2024	14:19:36	-0.8	G	66.5	G
1/24/2024	14:19:41	-0.8	G	66.5	G
1/24/2024	14:19:46	-0.7	G	66.5	G
1/24/2024	14:19:51	-0.8	G	66.5	G
1/24/2024	14:19:56	-0.8	G	66.5	G
1/24/2024	14:20:01	-0.9	G	66.5	G
1/24/2024	14:20:06	-1.0	G	66.5	G
1/24/2024	14:20:11	-0.9	G	66.5	G
1/24/2024	14:20:16	-0.9	G	66.5	G
1/24/2024	14:20:21	-0.9	G	66.5	G
1/24/2024	14:20:26	-1.0	G	66.5	G
1/24/2024	14:20:31	-1.1	G	66.5	G
1/24/2024	14:20:36	-1.0	G	66.5	G
1/24/2024	14:20:41	-0.9	G	66.5	G
1/24/2024	14:20:46	-0.7	G	66.5	G
1/24/2024	14:20:51	-0.6	G	66.5	G
1/24/2024	14:20:56	-0.5	G	66.5	G
1/24/2024	14:21:01	-0.5	G	66.5	G
1/24/2024	14:21:06	-0.5	G	66.5	G
1/24/2024	14:21:11	-0.4	G	66.5	G
1/24/2024	14:21:16	-0.4	G	66.5	G
1/24/2024	14:21:21	-0.5	G	66.5	G
1/24/2024	14:21:26	-0.5	G	66.5	G
1/24/2024	14:21:31	-0.5	G	66.5	G
1/24/2024	14:21:36	-0.5	G	66.5	G
1/24/2024	14:21:41	-0.5	G	66.5	G
1/24/2024	14:21:46	-0.4	G	66.5	G
1/24/2024	14:21:51	-0.3	G	66.5	G
1/24/2024	14:21:56	-0.3	G	66.5	G
1/24/2024	14:22:01	-0.3	G	66.5	G
1/24/2024	14:22:06	-0.4	G	66.5	G
1/24/2024	14:22:11	-0.6	G	66.5	G
