Date,Time,MQ2.SV Vorne,MQ3.SV Vorne,MQ9B.SV Vorne,MQ135.SV Vorne,MP503.SV Vorne,HCOH.SV Vorne
20240306,14:55:59.398,164.0,98.0,35.0,89.0,39.0,298.0
20240306,14:56:03.099,160.0,94.0,33.0,89.0,39.0,292.0
20240306,14:56:06.778,183.0,87.0,32.0,87.0,39.0,220.0
20240306,14:56:10.449,169.0,89.0,33.0,83.0,39.0,217.0
20240306,14:56:14.123,156.0,83.0,33.0,111.0,39.0,212.0
20240306,14:56:17.813,175.0,79.0,32.0,86.0,38.0,243.0
20240306,14:56:21.484,156.0,85.0,35.0,102.0,38.0,432.0
20240306,14:56:25.154,169.0,81.0,33.0,84.0,39.0,331.0
20240306,14:56:28.848,172.0,81.0,34.0,76.0,40.0,300.0
20240306,14:56:32.542,169.0,80.0,32.0,121.0,38.0,224.0
